"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2021","77.032","78.000","80.600","78.000","0.03K","-11.27%"
"10/27/2021","86.820","86.300","86.950","86.000","0.05K","-1.89%"
"10/26/2021","88.495","90.150","90.200","87.800","0.06K","-0.17%"
"10/25/2021","88.645","91.000","91.000","88.000","0.06K","1.49%"
"10/22/2021","87.340","88.610","88.700","87.000","0.09K","-1.27%"
"10/21/2021","88.465","90.645","90.660","87.815","0.04K","-5.33%"
"10/20/2021","93.450","94.395","94.395","92.750","0.02K","3.91%"
"10/19/2021","89.930","92.150","93.935","89.425","0.06K","-4.26%"
"10/18/2021","93.935","89.350","100.400","89.350","0.04K","0.30%"
"10/15/2021","93.650","104.000","104.000","92.570","0.15K","-8.34%"
"10/14/2021","102.170","102.150","102.255","96.730","0.08K","9.14%"
"10/13/2021","93.615","91.375","94.610","90.290","0.24K","9.24%"
"10/12/2021","85.700","86.310","87.395","85.000","0.60K","0.57%"
"10/11/2021","85.215","92.000","92.135","83.500","0.23K","-2.73%"
"10/08/2021","87.605","95.000","95.675","83.700","0.15K","-9.30%"
"10/07/2021","96.585","89.260","109.470","89.260","0.08K","-10.73%"
"10/06/2021","108.190","131.025","132.930","101.555","0.18K","-6.75%"
"10/05/2021","116.020","95.000","105.610","83.620","0.17K","20.04%"
"10/04/2021","96.650","96.400","99.760","94.235","0.17K","3.23%"
"10/01/2021","93.625","94.665","97.590","93.105","0.20K","-4.24%"
"09/30/2021","97.775","94.920","96.300","93.180","0.05K","12.89%"
"09/29/2021","86.609","86.500","86.500","86.500","0.08K","10.24%"
"09/28/2021","78.565","83.000","84.150","78.950","0.08K","2.69%"
"09/27/2021","76.505","75.000","76.970","75.000","0.28K","8.92%"
"09/24/2021","70.240","68.300","70.890","68.255","0.35K","0.80%"
"09/23/2021","69.685","68.000","70.710","68.000","0.61K","-2.80%"
"09/22/2021","71.690","70.100","72.655","69.925","0.71K","-2.83%"
"09/21/2021","73.780","72.525","75.105","71.250","0.36K","-2.04%"
"09/20/2021","75.315","65.725","75.380","69.805","0.35K","15.69%"
"09/17/2021","65.103","66.750","66.775","62.850","0.38K","2.93%"
"09/16/2021","63.250","68.535","68.535","60.760","0.34K","-10.54%"
"09/15/2021","70.705","71.925","77.275","69.725","0.62K","7.51%"
"09/14/2021","65.765","64.550","66.395","64.550","1.13K","7.32%"
"09/13/2021","61.280","59.350","62.250","59.350","1.02K","5.81%"
"09/10/2021","57.916","56.000","57.995","55.775","1.18K","2.36%"
"09/09/2021","56.580","55.600","57.230","54.730","1.06K","2.33%"
"09/08/2021","55.290","54.175","55.575","53.560","1.43K","2.56%"
"09/07/2021","53.910","53.075","54.185","51.285","2.16K","4.67%"
"09/03/2021","51.505","51.800","52.550","51.290","1.29K","-0.79%"
"09/02/2021","51.915","50.985","52.595","49.715","1.32K","3.35%"
"09/01/2021","50.230","52.250","52.900","49.600","2.05K","-0.22%"
"08/31/2021","50.340","48.580","50.470","48.580","0.20K","1.33%"
"08/30/2021","49.680","48.850","49.430","48.700","0.09K","3.92%"
"08/27/2021","47.806","47.806","47.806","47.806","","4.40%"
"08/26/2021","45.790","44.215","45.845","44.200","0.32K","1.12%"
"08/25/2021","45.285","45.830","46.130","44.775","1.00K","0.92%"
"08/24/2021","44.870","43.625","45.070","43.625","0.16K","7.65%"
"08/23/2021","41.680","42.275","43.535","40.610","0.59K","-0.63%"
"08/20/2021","41.944","41.570","42.625","40.900","0.52K","3.83%"
"08/19/2021","40.395","44.375","44.480","40.100","0.80K","-10.99%"
"08/18/2021","45.385","46.395","47.525","42.795","0.63K","-3.33%"
"08/17/2021","46.950","46.855","47.975","46.675","0.52K","-2.17%"
"08/16/2021","47.990","46.250","48.215","46.250","0.42K","7.53%"
"08/13/2021","44.630","44.415","45.400","44.375","0.76K","-2.70%"
"08/12/2021","45.870","46.150","46.525","45.325","0.77K","-0.25%"
"08/11/2021","45.985","44.975","46.525","44.575","0.52K","2.98%"
"08/10/2021","44.655","44.390","45.025","44.215","0.89K","4.37%"
"08/09/2021","42.785","43.095","43.570","42.450","1.22K","-0.78%"
"08/06/2021","43.120","43.900","44.570","42.675","1.14K","0.51%"
"08/05/2021","42.900","41.570","43.200","41.195","1.26K","1.53%"
"08/04/2021","42.255","41.540","42.260","41.540","0.78K","2.45%"
"08/03/2021","41.245","41.590","42.180","41.120","0.93K","-2.16%"
"08/02/2021","42.155","42.100","42.690","41.815","1.36K","3.44%"
"07/30/2021","40.755","40.510","40.855","39.420","0.39K","-0.97%"
"07/29/2021","41.154","40.350","40.880","40.050","0.72K","3.66%"
"07/28/2021","39.700","38.465","39.715","38.415","0.51K","5.61%"
"07/27/2021","37.590","37.695","37.705","37.260","0.56K","1.83%"
"07/26/2021","36.915","36.140","37.025","35.910","0.17K","3.91%"
"07/23/2021","35.525","35.815","35.940","35.100","0.53K","-1.67%"
"07/22/2021","36.130","35.675","36.435","35.650","0.59K","0.50%"
"07/21/2021","35.950","35.500","36.200","35.460","0.37K","2.23%"
"07/20/2021","35.165","35.095","35.315","34.625","0.52K","-1.36%"
"07/19/2021","35.650","36.450","36.810","35.615","0.42K","2.32%"
"07/16/2021","34.840","35.100","35.525","34.600","0.46K","3.09%"
"07/15/2021","33.795","34.200","34.605","33.610","0.46K","-2.82%"
"07/14/2021","34.775","34.835","35.175","33.405","0.62K","-1.95%"
"07/13/2021","35.465","34.305","35.835","34.145","0.94K","2.35%"
"07/12/2021","34.650","35.235","36.150","34.395","1.14K","-5.41%"
"07/09/2021","36.632","35.840","36.850","35.565","0.66K","9.97%"
"07/08/2021","33.310","32.290","33.875","31.470","1.19K","3.00%"
"07/07/2021","32.340","34.315","36.230","32.345","1.15K","-5.18%"
"07/06/2021","34.105","37.250","38.365","33.080","1.43K","-4.81%"
"07/02/2021","35.827","34.925","36.870","34.925","1.21K","-0.88%"
"07/01/2021","36.145","35.500","36.955","35.450","0.63K","4.40%"
"06/30/2021","34.620","33.875","34.925","33.740","1.46K","3.39%"
"06/29/2021","33.486","32.855","33.825","32.855","0.30K","3.70%"
"06/28/2021","32.290","32.100","32.380","31.750","0.79K","-0.29%"
