settlementDate,settlementPeriod,DAM,DAI
2021-01-01,18.0,30080.0,-756.0
2021-01-01,19.0,29268.0,-631.0
2021-01-01,20.0,26956.0,-504.0
2021-01-01,21.0,26282.0,-537.0
2021-01-01,22.0,25811.0,86.0
2021-01-01,23.0,25429.0,55.0
2021-01-01,24.0,24234.0,-113.0
2021-01-01,25.0,23248.0,-568.0
2021-01-01,26.0,23066.0,-476.0
2021-01-01,27.0,22501.0,-1245.0
2021-01-01,28.0,22440.0,-1776.0
2021-01-01,29.0,22225.0,-1547.0
2021-01-01,30.0,22095.0,-1095.0
2021-01-01,31.0,21663.0,-823.0
2021-01-01,32.0,21032.0,-791.0
2021-01-01,33.0,20144.0,-186.0
2021-01-01,34.0,18993.0,-753.0
2021-01-01,35.0,18434.0,-1149.0
2021-01-01,36.0,18791.0,-855.0
2021-01-01,37.0,19723.0,-703.0
2021-01-01,38.0,20467.0,181.0
2021-01-01,39.0,21202.0,-819.0
2021-01-01,40.0,22309.0,-421.0
2021-01-01,41.0,23317.0,-280.0
2021-01-01,42.0,24694.0,93.0
2021-01-01,43.0,24927.0,-592.0
2021-01-01,44.0,26320.0,-62.0
2021-01-01,45.0,27512.0,150.0
2021-01-01,46.0,28616.0,-317.0
2021-01-01,47.0,30034.0,163.0
2021-01-01,48.0,31115.0,-85.0
2021-01-02,1.0,31067.0,16.0
2021-01-02,2.0,32300.0,1102.0
2021-01-02,3.0,32196.0,371.0
2021-01-02,4.0,32533.0,218.0
2021-01-02,5.0,31646.0,402.0
2021-01-02,6.0,31630.0,417.0
2021-01-02,7.0,32100.0,297.0
2021-01-02,8.0,32614.0,594.0
2021-01-02,9.0,32620.0,413.0
2021-01-02,10.0,32908.0,718.0
2021-01-02,11.0,32997.0,699.0
2021-01-02,12.0,32744.0,653.0
2021-01-02,13.0,32042.0,606.0
2021-01-02,14.0,31336.0,746.0
2021-01-02,15.0,30368.0,1262.0
2021-01-02,16.0,29288.0,971.0
2021-01-02,17.0,27495.0,457.0
2021-01-02,18.0,26036.0,28.0
2021-01-02,19.0,25046.0,44.0
2021-01-02,20.0,24407.0,874.0
2021-01-02,21.0,23719.0,1408.0
2021-01-02,22.0,23496.0,1613.0
2021-01-02,23.0,22836.0,1760.0
2021-01-02,24.0,22891.0,1710.0
2021-01-02,25.0,22587.0,1654.0
2021-01-02,26.0,22308.0,1841.0
2021-01-02,27.0,22172.0,1660.0
2021-01-02,28.0,22230.0,1831.0
2021-01-02,29.0,22308.0,2055.0
2021-01-02,30.0,22281.0,2887.0
2021-01-02,31.0,21526.0,2610.0
2021-01-02,32.0,20437.0,1883.0
2021-01-02,33.0,19397.0,2115.0
2021-01-02,34.0,17543.0,1616.0
2021-01-02,35.0,16540.0,810.0
2021-01-02,36.0,16551.0,567.0
2021-01-02,37.0,17050.0,845.0
2021-01-02,38.0,17641.0,1004.0
2021-01-02,39.0,18751.0,674.0
2021-01-02,40.0,20117.0,1250.0
2021-01-02,41.0,21116.0,964.0
2021-01-02,42.0,22646.0,1025.0
2021-01-02,43.0,23242.0,183.0
2021-01-02,44.0,24369.0,-217.0
