settlementDate,settlementPeriod,Solar generation,Wind Offshore generation,Wind Onshore generation
2020-12-28,37.0,0.0,1551.994,1765.485
2020-12-28,38.0,0.0,1551.994,1765.485
2020-12-28,39.0,0.0,1669.53,1833.508
2020-12-28,40.0,0.0,1669.53,1833.508
2020-12-28,41.0,0.0,1712.718,1843.335
2020-12-28,42.0,0.0,1712.718,1843.335
2020-12-28,43.0,0.0,1779.666,1854.166
2020-12-28,44.0,0.0,1779.666,1854.166
2020-12-28,45.0,0.0,1887.216,1889.862
2020-12-28,46.0,0.0,1887.216,1889.862
2020-12-28,47.0,0.0,1963.444,1865.92
2020-12-28,48.0,0.0,1963.444,1865.92
2020-12-29,1.0,0.0,1198.182,1613.153
2020-12-29,2.0,0.0,1198.182,1613.153
2020-12-29,3.0,0.0,1322.221,1668.76
2020-12-29,4.0,0.0,1322.221,1668.76
2020-12-29,5.0,0.0,1433.616,1754.586
2020-12-29,6.0,0.0,1433.616,1754.586
2020-12-29,7.0,0.0,1657.363,1837.969
2020-12-29,8.0,0.0,1657.363,1837.969
2020-12-29,9.0,0.0,1797.962,1908.258
2020-12-29,10.0,0.0,1797.962,1908.258
2020-12-29,11.0,0.0,1999.807,1973.096
2020-12-29,12.0,0.0,1999.807,1973.096
2020-12-29,13.0,0.0,2213.861,2041.958
2020-12-29,14.0,0.0,2213.861,2041.958
2020-12-29,15.0,0.0,2201.214,2082.102
2020-12-29,16.0,0.0,2201.214,2082.102
2020-12-29,17.0,52.0,2222.773,2143.03
2020-12-29,18.0,166.0,2222.773,2143.03
2020-12-29,19.0,354.0,2236.699,2213.762
2020-12-29,20.0,595.0,2236.699,2213.762
2020-12-29,21.0,857.0,2350.841,2332.871
2020-12-29,22.0,1103.0,2350.841,2332.871
2020-12-29,23.0,1300.0,2321.67,2466.225
2020-12-29,24.0,1428.0,2321.67,2466.225
2020-12-29,25.0,1469.0,2375.196,2585.176
2020-12-29,26.0,1415.0,2375.196,2585.176
2020-12-29,27.0,1261.0,2552.362,2637.69
2020-12-29,28.0,1025.0,2552.362,2637.69
2020-12-29,29.0,738.0,2595.337,2686.419
2020-12-29,30.0,442.0,2595.337,2686.419
