settlementDate,settlementPeriod,Generation forecast Production
2020-12-31,7.0,23882.0
2020-12-31,8.0,23696.0
2020-12-31,9.0,23841.0
2020-12-31,10.0,23969.0
2020-12-31,11.0,24079.0
2020-12-31,12.0,24370.0
2020-12-31,13.0,25472.0
2020-12-31,14.0,27257.0
2020-12-31,15.0,29363.0
2020-12-31,16.0,30158.0
2020-12-31,17.0,31418.0
2020-12-31,18.0,32997.0
2020-12-31,19.0,34885.0
2020-12-31,20.0,36165.0
2020-12-31,21.0,37111.0
2020-12-31,22.0,37711.0
2020-12-31,23.0,38005.0
2020-12-31,24.0,38156.0
2020-12-31,25.0,38112.0
2020-12-31,26.0,37971.0
2020-12-31,27.0,37848.0
2020-12-31,28.0,37648.0
2020-12-31,29.0,37390.0
2020-12-31,30.0,37453.0
2020-12-31,31.0,37559.0
2020-12-31,32.0,37693.0
2020-12-31,33.0,38285.0
2020-12-31,34.0,38538.0
2020-12-31,35.0,38821.0
2020-12-31,36.0,38746.0
2020-12-31,37.0,38572.0
2020-12-31,38.0,38454.0
2020-12-31,39.0,36704.0
2020-12-31,40.0,34502.0
2020-12-31,41.0,32483.0
2020-12-31,42.0,31188.0
2020-12-31,43.0,29889.0
2020-12-31,44.0,29136.0
2020-12-31,45.0,28398.0
2020-12-31,46.0,27126.0
2020-12-31,47.0,24838.0
2020-12-31,48.0,23534.0
2021-01-01,1.0,25357.0
2021-01-01,2.0,25375.0
2021-01-01,3.0,25187.0
2021-01-01,4.0,25035.0
2021-01-01,5.0,25095.0
2021-01-01,6.0,24931.0
2021-01-01,7.0,24701.0
2021-01-01,8.0,24472.0
2021-01-01,9.0,24219.0
2021-01-01,10.0,23882.0
2021-01-01,11.0,23727.0
2021-01-01,12.0,23683.0
2021-01-01,13.0,23870.0
2021-01-01,14.0,24185.0
2021-01-01,15.0,24818.0
2021-01-01,16.0,25181.0
2021-01-01,17.0,25948.0
2021-01-01,18.0,27149.0
2021-01-01,19.0,28513.0
2021-01-01,20.0,29705.0
2021-01-01,21.0,31320.0
2021-01-01,22.0,32051.0
2021-01-01,23.0,33032.0
2021-01-01,24.0,33676.0
2021-01-01,25.0,34128.0
2021-01-01,26.0,34421.0
2021-01-01,27.0,34438.0
2021-01-01,28.0,34276.0
2021-01-01,29.0,34158.0
2021-01-01,30.0,34262.0
2021-01-01,31.0,34979.0
2021-01-01,32.0,35712.0
2021-01-01,33.0,36447.0
2021-01-01,34.0,36675.0
2021-01-01,35.0,36935.0
2021-01-01,36.0,36854.0
2021-01-01,37.0,36536.0
2021-01-01,38.0,36208.0
2021-01-01,39.0,34903.0
2021-01-01,40.0,33793.0
2021-01-01,41.0,32965.0
2021-01-01,42.0,32277.0
2021-01-01,43.0,30783.0
2021-01-01,44.0,29235.0
2021-01-01,45.0,28265.0
2021-01-01,46.0,26947.0
2021-01-01,47.0,25330.0
2021-01-01,48.0,24095.0
2021-01-02,1.0,25126.0
2021-01-02,2.0,24692.0
2021-01-02,3.0,24294.0
2021-01-02,4.0,24371.0
2021-01-02,5.0,24451.0
2021-01-02,6.0,24412.0
2021-01-02,7.0,23633.0
2021-01-02,8.0,23438.0
2021-01-02,9.0,23190.0
2021-01-02,10.0,23276.0
2021-01-02,11.0,23381.0
2021-01-02,12.0,23577.0
2021-01-02,13.0,24253.0
2021-01-02,14.0,24860.0
2021-01-02,15.0,25854.0
2021-01-02,16.0,26615.0
2021-01-02,17.0,28068.0
2021-01-02,18.0,29247.0
2021-01-02,19.0,30908.0
2021-01-02,20.0,32381.0
2021-01-02,21.0,34086.0
2021-01-02,22.0,35271.0
2021-01-02,23.0,35776.0
2021-01-02,24.0,35933.0
2021-01-02,25.0,35907.0
2021-01-02,26.0,35692.0
2021-01-02,27.0,35571.0
2021-01-02,28.0,35433.0
2021-01-02,29.0,35511.0
2021-01-02,30.0,35750.0
2021-01-02,31.0,36124.0
2021-01-02,32.0,36326.0
2021-01-02,33.0,37345.0
2021-01-02,34.0,37855.0
2021-01-02,35.0,38178.0
2021-01-02,36.0,38037.0
2021-01-02,37.0,37800.0
2021-01-02,38.0,37707.0
2021-01-02,39.0,37137.0
2021-01-02,40.0,36549.0
2021-01-02,41.0,35384.0
2021-01-02,42.0,34050.0
2021-01-02,43.0,31984.0
2021-01-02,44.0,30579.0
2021-01-02,45.0,29892.0
2021-01-02,46.0,29290.0
2021-01-02,47.0,26200.0
2021-01-02,48.0,24391.0
2021-01-03,1.0,24807.0
2021-01-03,2.0,24675.0
2021-01-03,3.0,24166.0
2021-01-03,4.0,23865.0
2021-01-03,5.0,23924.0
2021-01-03,6.0,23962.0
2021-01-03,7.0,24067.0
2021-01-03,8.0,24192.0
2021-01-03,9.0,24256.0
2021-01-03,10.0,24281.0
2021-01-03,11.0,24536.0
2021-01-03,12.0,24623.0
2021-01-03,13.0,24773.0
2021-01-03,14.0,25369.0
2021-01-03,15.0,26745.0
2021-01-03,16.0,27157.0
2021-01-03,17.0,27472.0
2021-01-03,18.0,28400.0
2021-01-03,19.0,30896.0
2021-01-03,20.0,32924.0
2021-01-03,21.0,34160.0
2021-01-03,22.0,34818.0
2021-01-03,23.0,35425.0
2021-01-03,24.0,35981.0
2021-01-03,25.0,36131.0
2021-01-03,26.0,36174.0
2021-01-03,27.0,36183.0
2021-01-03,28.0,36191.0
2021-01-03,29.0,36576.0
2021-01-03,30.0,37382.0
2021-01-03,31.0,38241.0
2021-01-03,32.0,38437.0
2021-01-03,33.0,39076.0
2021-01-03,34.0,39883.0
2021-01-03,35.0,40530.0
2021-01-03,36.0,40651.0
2021-01-03,37.0,40587.0
2021-01-03,38.0,40525.0
2021-01-03,39.0,40180.0
2021-01-03,40.0,38997.0
2021-01-03,41.0,37136.0
2021-01-03,42.0,35323.0
2021-01-03,43.0,32886.0
